               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,             0.02959,             0.01145,                   0,             0.50183,             0.88889,             0.53862,             0.39765,            0.026781,           0.0094057,                   0,            0.004796,            0.004796,            0.004796
                  57,            0.028662,             0.01109,                   0,             0.49282,             0.82396,             0.53374,             0.38876,            0.028588,           0.0099608,                   0,           0.0046568,           0.0046568,           0.0046568
                  58,            0.029023,            0.010873,                   0,             0.49161,              0.8765,             0.59707,             0.43719,            0.026938,           0.0096644,                   0,           0.0045184,           0.0045184,           0.0045184
                  59,            0.029029,            0.010631,                   0,             0.48154,             0.91793,             0.54535,             0.40199,            0.026268,           0.0096613,                   0,           0.0043809,           0.0043809,           0.0043809
                  60,            0.027972,            0.011156,                   0,             0.45247,             0.92398,             0.45675,              0.3341,            0.028511,            0.010533,                   0,           0.0042445,           0.0042445,           0.0042445
                  61,            0.027868,            0.010742,                   0,             0.47503,             0.89474,             0.49976,              0.3725,             0.02771,            0.010221,                   0,           0.0041094,           0.0041094,           0.0041094
                  62,            0.027565,            0.011261,                   0,              0.4467,             0.88889,             0.49608,             0.36953,            0.027849,            0.010571,                   0,           0.0039757,           0.0039757,           0.0039757
                  63,            0.027383,            0.010564,                   0,             0.53072,             0.69591,             0.52158,             0.38128,             0.02757,            0.010574,                   0,           0.0038434,           0.0038434,           0.0038434
                  64,            0.027368,            0.011071,                   0,              0.5183,             0.81287,             0.62861,             0.46625,            0.026239,           0.0096926,                   0,           0.0037128,           0.0037128,           0.0037128
                  65,            0.026676,            0.010621,                   0,             0.53206,             0.82451,             0.64802,             0.49809,            0.025849,           0.0093923,                   0,            0.003584,            0.003584,            0.003584
                  66,             0.02613,            0.010677,                   0,             0.62676,             0.78947,              0.7297,             0.55517,             0.02529,           0.0084549,                   0,            0.003457,            0.003457,            0.003457
                  67,            0.025577,             0.01045,                   0,             0.59298,             0.79532,             0.63663,             0.47561,            0.025225,           0.0095942,                   0,           0.0033321,           0.0033321,           0.0033321
                  68,            0.025481,            0.010402,                   0,             0.54083,             0.84795,             0.62479,             0.46456,             0.02454,           0.0095656,                   0,           0.0032093,           0.0032093,           0.0032093
                  69,            0.025727,             0.01036,                   0,             0.48867,             0.89474,             0.59777,             0.45282,            0.025583,           0.0099699,                   0,           0.0030888,           0.0030888,           0.0030888
                  70,            0.025908,           0.0099535,                   0,             0.43968,             0.92235,             0.54047,             0.39908,            0.026484,             0.01084,                   0,           0.0029706,           0.0029706,           0.0029706
                  71,            0.024957,            0.010094,                   0,             0.45989,              0.9411,             0.58494,             0.43128,            0.025957,            0.010565,                   0,            0.002855,            0.002855,            0.002855
                  72,            0.024852,            0.010298,                   0,             0.46928,             0.89474,             0.49311,             0.34996,            0.027061,            0.011482,                   0,           0.0027419,           0.0027419,           0.0027419
                  73,            0.024467,            0.010055,                   0,             0.49272,             0.90643,             0.55531,             0.41542,            0.026045,            0.010352,                   0,           0.0026316,           0.0026316,           0.0026316
                  74,            0.024941,           0.0097749,                   0,             0.46555,             0.87109,             0.49638,             0.36796,            0.027435,            0.011587,                   0,           0.0025241,           0.0025241,           0.0025241
                  75,            0.023518,           0.0097897,                   0,             0.45679,             0.87135,             0.49413,             0.36465,            0.027836,            0.012208,                   0,           0.0024195,           0.0024195,           0.0024195
                  76,            0.024011,           0.0095721,                   0,             0.45635,             0.91813,             0.53321,             0.39559,            0.026929,            0.011362,                   0,            0.002318,            0.002318,            0.002318
                  77,            0.022991,           0.0094964,                   0,             0.62259,             0.72515,             0.65774,             0.49415,             0.02435,            0.010096,                   0,           0.0022196,           0.0022196,           0.0022196
                  78,            0.023638,           0.0095648,                   0,             0.45707,             0.90587,             0.52672,             0.40187,            0.027912,            0.011844,                   0,           0.0021245,           0.0021245,           0.0021245
                  79,             0.02334,           0.0098668,                   0,               0.479,             0.87636,             0.53038,             0.39943,            0.026501,            0.011798,                   0,           0.0020327,           0.0020327,           0.0020327
                  80,            0.022115,           0.0093872,                   0,             0.46442,             0.88304,             0.50571,             0.37531,            0.027214,            0.012149,                   0,           0.0019443,           0.0019443,           0.0019443
                  81,            0.022234,           0.0093465,                   0,             0.48926,             0.82456,             0.53279,             0.39468,            0.027264,            0.011752,                   0,           0.0018594,           0.0018594,           0.0018594
                  82,             0.02285,           0.0090852,                   0,             0.48666,              0.8538,             0.55147,             0.41066,            0.026429,            0.011436,                   0,           0.0017781,           0.0017781,           0.0017781
                  83,            0.021215,           0.0085686,                   0,             0.45535,             0.89472,             0.51263,             0.38801,            0.026989,            0.012026,                   0,           0.0017005,           0.0017005,           0.0017005
                  84,             0.02162,           0.0089753,                   0,             0.51044,             0.83533,             0.57755,             0.43877,            0.026438,            0.011241,                   0,           0.0016267,           0.0016267,           0.0016267
                  85,            0.020999,           0.0087913,                   0,             0.43609,             0.90058,             0.51109,             0.38341,            0.028423,            0.013367,                   0,           0.0015566,           0.0015566,           0.0015566
                  86,             0.02136,           0.0090578,                   0,             0.46016,              0.9172,             0.55837,             0.42356,            0.026353,            0.011763,                   0,           0.0014905,           0.0014905,           0.0014905
                  87,            0.020643,           0.0089361,                   0,             0.51429,              0.8421,             0.63716,             0.48977,            0.026077,            0.011031,                   0,           0.0014283,           0.0014283,           0.0014283
                  88,            0.020746,           0.0084104,                   0,              0.4645,             0.88304,             0.54117,             0.41757,             0.02729,            0.012543,                   0,           0.0013701,           0.0013701,           0.0013701
                  89,            0.020806,           0.0090474,                   0,             0.52899,             0.84795,             0.63048,             0.48416,            0.025506,            0.010511,                   0,            0.001316,            0.001316,            0.001316
                  90,            0.020703,           0.0086808,                   0,             0.46873,             0.88889,             0.54363,             0.42087,            0.027568,            0.012421,                   0,            0.001266,            0.001266,            0.001266
                  91,             0.02014,           0.0084404,                   0,             0.51093,             0.81871,             0.58245,             0.44698,            0.026315,             0.01178,                   0,           0.0012202,           0.0012202,           0.0012202
                  92,            0.021557,           0.0088616,                   0,             0.42475,             0.85928,             0.44391,             0.34274,            0.029161,            0.014365,                   0,           0.0011787,           0.0011787,           0.0011787
                  93,            0.019754,           0.0083001,                   0,             0.45993,              0.9064,             0.59382,             0.46288,            0.026495,            0.011676,                   0,           0.0011414,           0.0011414,           0.0011414
                  94,            0.019756,           0.0082856,                   0,             0.51933,              0.6887,             0.61123,             0.46896,            0.026919,            0.012534,                   0,           0.0011084,           0.0011084,           0.0011084
                  95,            0.019588,           0.0082907,                   0,             0.43688,             0.84211,             0.55862,             0.42807,            0.027138,             0.01318,                   0,           0.0010797,           0.0010797,           0.0010797
                  96,            0.019745,           0.0081553,                   0,             0.46543,             0.87719,             0.58753,             0.45822,            0.026329,            0.012425,                   0,           0.0010554,           0.0010554,           0.0010554
                  97,            0.019556,           0.0082589,                   0,             0.47291,             0.92344,             0.61698,             0.47276,            0.025424,             0.01164,                   0,           0.0010355,           0.0010355,           0.0010355
                  98,            0.019742,           0.0079843,                   0,             0.49437,             0.77761,             0.54747,             0.41863,            0.026569,            0.012455,                   0,             0.00102,             0.00102,             0.00102
                  99,            0.018926,             0.00807,                   0,             0.49961,             0.77778,             0.53942,             0.42686,            0.026672,            0.012563,                   0,           0.0010089,           0.0010089,           0.0010089
